#{"t_start": 1779674134.795204, "env_id": "None"}
r,l,t
9.809536,111,587.577738
-11.117575,111,587.577738
9.993494,103,594.722517
-11.1663885,103,594.722517
2.2572427,863,601.321595
-18.632618,863,601.321595
9.526001,139,609.671239
-11.389233,139,609.671239
9.573178,132,614.46995
-11.304623,132,614.46995
8.583106,235,620.367987
-12.350311,235,620.367987
9.909773,100,624.501679
-10.986771,100,624.501679
10.027749,88,633.485727
-10.874841,88,633.485727
4.412405,649,640.048052
-16.476786,649,640.048052
9.654503,122,643.516547
-11.238477,122,643.516547
7.746406,315,650.381163
-13.146831,315,650.381163
10.004561,86,656.38172
-10.858428,86,656.38172
3.8848515,704,663.913776
-17.03422,704,663.913776
9.586466,130,670.478959
-11.296937,130,670.478959
10.228541,68,674.345843
-10.68578,68,674.345843
6.56284,435,682.342484
-14.35439,435,682.342484
8.923267,196,686.743165
-11.959824,196,686.743165
9.813143,109,691.723327
-11.087942,109,691.724329
10.350459,55,695.45802
-10.5559845,55,695.45802
10.090924,76,703.255464
-10.762056,76,703.255464
9.290817,161,706.588441
-11.606264,161,706.589539
10.388333,52,711.603971
-10.520042,52,711.603971
10.345474,55,715.338409
-10.552152,55,715.338409
5.599287,533,722.33629
-15.347052,533,722.337198
8.915541,198,726.068011
-11.974085,198,726.068011
9.5834875,126,731.200479
-11.260348,126,731.200479
9.563883,134,735.999652
-11.339316,134,735.999652
10.013751,90,740.884686
-10.901359,90,740.884686
-0.641716,1155,744.748776
-21.529476,1155,744.748776
10.341545,58,750.030716
-10.58195,58,750.030716
9.698854,115,754.164726
-11.148531,115,754.164726
10.344217,55,758.763352
-10.54661,55,758.763352
8.854642,201,762.227944
-12.009999,201,762.227944
8.040741,284,765.827036
-12.836113,284,765.827036
10.320927,59,771.476159
-10.588955,59,771.476159
4.05334,686,776.010641
-16.870037,686,776.010641
9.205949,170,780.976823
-12.105408,170,780.976823
9.673854,123,784.97637
-11.235273,123,784.97637
0.8532572,1007,790.106867
-20.069927,1007,790.106867
8.638256,227,793.172705
-12.272942,227,793.172705
10.108853,79,798.424292
-10.784031,79,798.424292
9.134528,136,802.01927
-10.9593,136,802.01927
-7.1919155,1812,806.41927
-28.127815,1812,806.420369
10.173808,72,813.003418
-10.723557,72,813.004437
8.241617,268,818.784403
-12.671324,268,818.784403
10.280558,63,822.78392
-10.623693,63,822.78392
7.135387,377,830.167467
-13.762947,377,830.167467
8.296558,262,833.763933
-12.619417,262,833.763933
9.520879,138,839.96471
-11.371298,138,839.965823
10.177548,75,845.163363
-10.767094,75,845.163363
10.2084465,70,850.69794
-10.701464,70,850.69794
10.290699,57,854.165622
-10.5605955,57,854.165622
8.98182,188,859.412606
-11.888489,188,859.412606
8.337453,256,862.480065
-12.556927,256,862.480065
